VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
PX4	1726962198252	800.7	-547.988	-33.9324	0.998411	-0.0140159	-0.0352573	-0.041659	img_PX4__0_1726962198247526500.png
PX4	1726962199831	816.257	-558.647	-33.9175	0.99842	-0.0140452	-0.0351732	-0.0414984	img_PX4__0_1726962199825262200.png
PX4	1726962201236	830.156	-568.175	-33.9205	0.998444	-0.0140012	-0.034689	-0.0413622	img_PX4__0_1726962201231139500.png
PX4	1726962202775	845.351	-578.599	-33.9323	0.998434	-0.013497	-0.0353062	-0.0412438	img_PX4__0_1726962202770565100.png
PX4	1726962204239	859.783	-588.485	-33.9367	0.99843	-0.0141042	-0.0351421	-0.0412724	img_PX4__0_1726962204233799400.png
PX4	1726962205595	873.178	-597.665	-33.9322	0.998435	-0.014107	-0.0350094	-0.0412631	img_PX4__0_1726962205589858700.png
PX4	1726962206903	886.1	-606.524	-33.9261	0.998421	-0.014154	-0.0354038	-0.0412551	img_PX4__0_1726962206899134100.png
PX4	1726962208220	899.118	-615.448	-33.9152	0.998438	-0.0136548	-0.0351992	-0.0411862	img_PX4__0_1726962208215706500.png
PX4	1726962209581	912.552	-624.65	-33.9043	0.998444	-0.0148207	-0.034613	-0.0411232	img_PX4__0_1726962209575016800.png
PX4	1726962210818	924.762	-633.036	-33.9006	0.998458	-0.0141843	-0.0346532	-0.0409847	img_PX4__0_1726962210814562700.png
PX4	1726962212012	936.548	-641.139	-33.9017	0.998441	-0.0141625	-0.0351974	-0.0409394	img_PX4__0_1726962212008300700.png
PX4	1726962213258	948.849	-649.581	-33.903	0.998443	-0.0136777	-0.0352918	-0.0409675	img_PX4__0_1726962213251782400.png
PX4	1726962214428	960.412	-657.506	-33.9013	0.998451	-0.0148465	-0.0345381	-0.0410165	img_PX4__0_1726962214424333600.png
PX4	1726962215514	971.137	-664.88	-33.899	0.998444	-0.0157105	-0.0342995	-0.0410743	img_PX4__0_1726962215508860200.png
PX4	1726962216538	979.94	-670.911	-34.1583	0.935044	0.189866	0.294032	-0.0564584	img_PX4__0_1726962216534715000.png
PX4	1726962217328	982.44	-672.784	-33.9962	0.909801	0.0819687	0.406656	-0.0131706	img_PX4__0_1726962217324954400.png
PX4	1726962218132	979.094	-673.208	-32.9957	0.909093	0.0408908	0.414576	0.00211455	img_PX4__0_1726962218129360800.png
PX4	1726962219362	964.031	-672.634	-31.8315	0.9973	0.0234601	0.0695722	0.00123414	img_PX4__0_1726962219357288700.png
PX4	1726962220818	944.031	-670.932	-34.1721	0.999552	-0.0128949	-0.0269114	-0.00252022	img_PX4__0_1726962220813027500.png
PX4	1726962222278	926.769	-669.5	-34.5903	0.99941	-0.0207798	0.0273502	-0.000856406	img_PX4__0_1726962222273976200.png
PX4	1726962223910	908.421	-668.778	-33.7872	0.998592	-0.00417368	0.0528769	-0.000160107	img_PX4__0_1726962223901453900.png
PX4	1726962225127	894.365	-668.443	-33.6986	0.998246	-0.00922529	0.0584746	-0.000547757	img_PX4__0_1726962225123200500.png
PX4	1726962226607	876.833	-668.383	-33.8305	0.998636	-0.00714915	0.0516813	-0.00212454	img_PX4__0_1726962226602105200.png
PX4	1726962227873	861.616	-668.577	-33.8777	0.998889	-0.00178111	0.0469468	-0.00376849	img_PX4__0_1726962227869542900.png
PX4	1726962229278	844.755	-668.867	-33.8687	0.998923	0.00140068	0.0460682	-0.00543476	img_PX4__0_1726962229275127000.png
PX4	1726962230671	828.079	-669.125	-33.8493	0.998872	0.00161632	0.046938	-0.00694194	img_PX4__0_1726962230666156200.png
PX4	1726962231834	814.137	-669.301	-33.846	0.998831	0.00125181	0.0476247	-0.00813451	img_PX4__0_1726962231829062200.png
PX4	1726962233027	799.864	-669.461	-33.8549	0.998821	0.00034863	0.0476245	-0.00939562	img_PX4__0_1726962233022912700.png
PX4	1726962234440	782.917	-669.633	-33.8726	0.998832	0.000983296	0.0470036	-0.0111893	img_PX4__0_1726962234434072800.png
PX4	1726962235867	765.83	-669.793	-33.883	0.998819	0.00134942	0.0467733	-0.0130836	img_PX4__0_1726962235859977900.png
PX4	1726962237321	748.406	-669.929	-33.896	0.998801	0.00119158	0.0466083	-0.0148997	img_PX4__0_1726962237315397800.png
PX4	1726962238684	732.126	-670.038	-33.9048	0.998754	0.00134623	0.0470787	-0.0165133	img_PX4__0_1726962238677275400.png
PX4	1726962240242	713.458	-670.133	-33.9025	0.998699	0.00135387	0.0475166	-0.0184858	img_PX4__0_1726962240236767900.png
PX4	1726962241876	693.883	-670.224	-33.8929	0.998676	0.0012291	0.0471082	-0.0206352	img_PX4__0_1726962241868986700.png
PX4	1726962243622	672.959	-670.295	-33.894	0.998644	0.00104276	0.0467497	-0.0228811	img_PX4__0_1726962243613279100.png
PX4	1726962245080	655.5	-670.354	-33.9061	0.998586	0.00101609	0.0469875	-0.0248274	img_PX4__0_1726962245076517300.png
PX4	1726962246576	637.607	-670.415	-33.9198	0.998545	0.00151795	0.046807	-0.026722	img_PX4__0_1726962246570624000.png
PX4	1726962248119	619.133	-670.478	-33.9202	0.998458	0.00139208	0.0474535	-0.0287761	img_PX4__0_1726962248114083700.png
PX4	1726962249656	600.723	-670.516	-33.9087	0.998443	0.00119132	0.0465708	-0.0306749	img_PX4__0_1726962249649809600.png
PX4	1726962251196	582.245	-670.564	-33.8976	0.998357	0.001427	0.047123	-0.0325786	img_PX4__0_1726962251191012800.png
PX4	1726962252925	561.572	-670.618	-33.8963	0.998275	0.00183575	0.0472772	-0.0347763	img_PX4__0_1726962252920405300.png
PX4	1726962254477	542.97	-670.65	-33.9112	0.998233	0.00136457	0.0468559	-0.0365306	img_PX4__0_1726962254471931700.png
PX4	1726962256048	524.119	-670.682	-33.9257	0.998156	0.00148275	0.0470295	-0.0383525	img_PX4__0_1726962256044749200.png
PX4	1726962257771	503.472	-670.731	-33.9327	0.998094	0.00220819	0.046586	-0.0404062	img_PX4__0_1726962257767222900.png
PX4	1726962259406	483.884	-670.764	-33.9416	0.99801	0.00110046	0.0468921	-0.0421484	img_PX4__0_1726962259399814500.png
PX4	1726962261095	463.658	-670.799	-33.8676	0.997907	0.00168901	0.0474788	-0.043879	img_PX4__0_1726962261090781400.png
PX4	1726962262681	444.589	-670.831	-33.8788	0.99791	0.00144651	0.0458936	-0.0454724	img_PX4__0_1726962262676693900.png
PX4	1726962264222	426.137	-670.862	-33.928	0.99781	0.00183232	0.0464399	-0.0470751	img_PX4__0_1726962264218918900.png
PX4	1726962266272	401.579	-670.904	-33.9519	0.997682	0.0018739	0.0471979	-0.0489931	img_PX4__0_1726962266261973100.png
PX4	1726962267518	386.629	-670.92	-33.9561	0.99766	0.00183761	0.0464854	-0.0500999	img_PX4__0_1726962267513567700.png
PX4	1726962269025	368.591	-670.939	-33.9574	0.997572	0.00134083	0.046915	-0.0514606	img_PX4__0_1726962269017818200.png
PX4	1726962270359	352.588	-670.966	-33.955	0.997514	0.00200938	0.0466974	-0.0527375	img_PX4__0_1726962270354024100.png
PX4	1726962271502	338.876	-670.989	-33.9514	0.997466	0.00216233	0.0466624	-0.0536573	img_PX4__0_1726962271498661600.png
PX4	1726962272819	323.121	-671.016	-33.9442	0.997414	0.00192858	0.046754	-0.0545497	img_PX4__0_1726962272815433700.png
PX4	1726962274173	306.856	-671.038	-33.9393	0.997357	0.00217189	0.0468617	-0.0554743	img_PX4__0_1726962274169835000.png
PX4	1726962275514	290.81	-671.038	-33.9445	0.997307	0.0018548	0.0468285	-0.0564059	img_PX4__0_1726962275509636400.png
PX4	1726962276840	274.899	-671.055	-33.9584	0.997282	0.00158862	0.0463185	-0.0572799	img_PX4__0_1726962276836550100.png
PX4	1726962278170	258.955	-671.082	-33.9707	0.99723	0.00272882	0.0462524	-0.0581786	img_PX4__0_1726962278164849600.png
PX4	1726962279733	240.204	-671.091	-33.9692	0.997162	0.00214608	0.0465291	-0.0591455	img_PX4__0_1726962279726480100.png
PX4	1726962281140	223.372	-671.091	-33.9586	0.997131	0.00175704	0.0462633	-0.0598848	img_PX4__0_1726962281134655000.png
PX4	1726962282791	203.584	-671.091	-33.9466	0.997052	0.00175825	0.0469591	-0.0606558	img_PX4__0_1726962282785879100.png
PX4	1726962284428	183.929	-671.095	-33.9447	0.997032	0.00195165	0.0465129	-0.0613147	img_PX4__0_1726962284423496600.png
PX4	1726962286135	163.462	-671.117	-33.9542	0.996981	0.00253428	0.0466768	-0.0620009	img_PX4__0_1726962286130013900.png
PX4	1726962287956	141.636	-671.117	-33.9626	0.996945	0.00227123	0.0464524	-0.0627491	img_PX4__0_1726962287951562200.png
PX4	1726962289704	120.68	-671.088	-33.9718	0.996913	0.00192712	0.0462192	-0.0634357	img_PX4__0_1726962289699283200.png
PX4	1726962291394	100.381	-671.069	-33.9687	0.996872	0.00193393	0.0464408	-0.0639169	img_PX4__0_1726962291387678800.png
PX4	1726962292793	83.6124	-671.063	-33.9687	0.996829	0.00245558	0.0468145	-0.0643004	img_PX4__0_1726962292787916800.png
PX4	1726962294122	67.6634	-671.036	-33.9658	0.99682	0.00174328	0.0466791	-0.0645524	img_PX4__0_1726962294117345500.png
PX4	1726962295623	49.6566	-671.016	-33.9603	0.996814	0.00143728	0.0463888	-0.0648646	img_PX4__0_1726962295614742700.png
PX4	1726962297063	32.3946	-671.016	-33.9487	0.99681	0.00214004	0.0462429	-0.0650137	img_PX4__0_1726962297058138300.png
PX4	1726962298369	16.7114	-671.011	-33.9424	0.996784	0.00286798	0.0465298	-0.0651817	img_PX4__0_1726962298359628400.png
PX4	1726962299574	2.70202	-671.017	-34.0443	0.957067	-0.00268396	-0.28282	-0.0634783	img_PX4__0_1726962299543998500.png
PX4	1726962300592	-3.50261	-671.455	-34.1747	0.994426	0.0133913	-0.0240855	-0.101776	img_PX4__0_1726962300587819000.png
PX4	1726962301419	-5.98696	-671.784	-33.5448	0.861499	0.110523	-0.0848906	-0.48826	img_PX4__0_1726962301414792400.png
PX4	1726962302242	-6.86872	-671.489	-32.4928	0.625085	0.0726374	0.0152938	-0.777019	img_PX4__0_1726962302238019800.png
PX4	1726962303445	-7.26465	-669.973	-31.0924	0.268227	-0.0548915	-0.0311102	-0.961287	img_PX4__0_1726962303441977700.png
PX4	1726962305158	-9.15042	-670.323	-29.9736	-0.0317709	0.0354259	-0.0239642	-0.99858	img_PX4__0_1726962305152044500.png
PX4	1726962306953	-9.73123	-672.122	-27.8697	0.0234269	0.0229479	0.0735312	-0.996754	img_PX4__0_1726962306946908500.png
PX4	1726962308657	-9.10544	-670.723	-25.1217	0.0380196	-0.0176834	-0.0380794	-0.998395	img_PX4__0_1726962308652494900.png
PX4	1726962310568	-9.16047	-670.86	-22.5291	0.0330894	-0.00129688	-0.00587685	-0.999434	img_PX4__0_1726962310561655600.png
