VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
PX4	1726960345065	976.542	-667.95	-18.0111	0.332917	-0.0563123	0.00448567	0.941263	img_PX4__0_1726960345061412300.png
PX4	1726960346521	977.357	-668.272	-15.8073	0.337763	0.0144826	-0.00182172	0.941116	img_PX4__0_1726960346517664800.png
PX4	1726960347691	977.837	-668.443	-13.9933	0.335799	0.038339	-0.00460239	0.941142	img_PX4__0_1726960347687095500.png
PX4	1726960348788	977.532	-668.24	-12.5107	0.337185	0.00605678	0.00400858	0.941411	img_PX4__0_1726960348784500700.png
PX4	1726960349995	977.032	-668.064	-11.0145	0.337478	-0.0272931	0.00675684	0.940913	img_PX4__0_1726960349991358100.png
PX4	1726960351341	977.123	-668.28	-9.07505	0.338101	-0.00921752	-0.00528138	0.94105	img_PX4__0_1726960351338126600.png
PX4	1726960352657	977.539	-668.453	-7.04783	0.338304	0.0185668	-0.00742202	0.940825	img_PX4__0_1726960352653460000.png
PX4	1726960353878	977.558	-668.283	-5.26092	0.337878	0.0107373	0.0048237	0.941116	img_PX4__0_1726960353874502700.png
PX4	1726960355153	977.254	-668.132	-3.54029	0.338409	-0.011247	0.00837827	0.940895	img_PX4__0_1726960355146595800.png
PX4	1726960356423	977.155	-668.285	-1.88683	0.338353	-0.011179	-0.00354403	0.940946	img_PX4__0_1726960356418358200.png
PX4	1726960357605	977.358	-668.447	-0.605337	0.338533	0.00580353	-0.00898895	0.940894	img_PX4__0_1726960357601420800.png
PX4	1726960358703	977.51	-668.382	0.32863	0.338136	0.0114476	-0.000457273	0.941027	img_PX4__0_1726960358699704500.png
PX4	1726960359708	977.449	-668.232	1.00911	0.337745	0.00331873	0.00776037	0.9412	img_PX4__0_1726960359705288900.png
PX4	1726960360715	977.282	-668.191	1.62292	0.338119	-0.00723215	0.00590804	0.941057	img_PX4__0_1726960360711667700.png
PX4	1726960361758	977.201	-668.303	2.32158	0.338067	-0.00889642	-0.00280155	0.941076	img_PX4__0_1726960361753812900.png
PX4	1726960362756	977.288	-668.421	3.04176	0.337741	-4.25541e-05	-0.00760509	0.941208	img_PX4__0_1726960362752563600.png
PX4	1726960363836	977.429	-668.409	3.81443	0.337412	0.0077339	-0.00285881	0.941321	img_PX4__0_1726960363832748900.png
PX4	1726960364681	977.454	-668.314	4.39159	0.337287	0.00627515	0.00293155	0.941376	img_PX4__0_1726960364678013200.png
PX4	1726960365542	977.388	-668.228	4.96738	0.337318	-0.000352249	0.00691457	0.941365	img_PX4__0_1726960365537340900.png
PX4	1726960366536	977.302	-668.231	5.51017	0.336994	-0.00644324	0.00326423	0.941479	img_PX4__0_1726960366533099000.png
PX4	1726960367398	977.324	-668.241	5.51221	0.335939	-0.00471024	-0.00174793	0.94187	img_PX4__0_1726960367395007900.png
PX4	1726960368221	977.336	-668.234	5.55583	0.336959	0.00101998	-0.0018174	0.941517	img_PX4__0_1726960368217539500.png
PX4	1726960369079	977.362	-668.255	5.9129	0.337919	0	0	0.941175	img_PX4__0_1726960369076941700.png
PX4	1726960369853	977.362	-668.255	5.9129	0.337919	0	0	0.941175	img_PX4__0_1726960369849810900.png
PX4	1726960370588	977.362	-668.255	5.9129	0.337919	0	0	0.941175	img_PX4__0_1726960370585259600.png
PX4	1726960371403	977.362	-668.255	5.9129	0.337919	0	0	0.941175	img_PX4__0_1726960371400437100.png
PX4	1726960372177	977.362	-668.255	5.9129	0.337919	0	0	0.941175	img_PX4__0_1726960372174720400.png
PX4	1726960373088	977.362	-668.255	5.9129	0.337919	0	0	0.941175	img_PX4__0_1726960373084631300.png
